created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Mar 05 06:20:17 +0000 2024;1764898711921192993;"KUCING PARODI DEBAT CAPRES";0;0;0;0;in;1446432943434461187;1764898711921192993;jiunlucu;https://twitter.com/jiunlucu/status/1764898711921192993
Tue Mar 05 06:20:03 +0000 2024;1764898649799278849;"@islah_bahrawi Capres ente kalah ya cak?";0;0;0;0;in;1733672439874560000;1764591866874626141;Kusum62845;https://twitter.com/Kusum62845/status/1764898649799278849
Tue Mar 05 06:19:06 +0000 2024;1764898412309430371;"Mimin @NasDem @DPP_PKB @PKSejahtera Benarkah Ucapan Capres 24% @aniesbaswedan 👇👇 https://t.co/2TsAw5nDyu";0;0;0;0;in;3170751642;1764898412309430371;G0P4NK_G0P4NG_7;https://twitter.com/G0P4NK_G0P4NG_7/status/1764898412309430371
Tue Mar 05 06:18:14 +0000 2024;1764898195652690418;"kucing parodi debat capres";0;0;0;0;in;1673963360466132994;1764898195652690418;alhaithann;https://twitter.com/alhaithann/status/1764898195652690418
Tue Mar 05 06:17:04 +0000 2024;1764897900210089991;"@Rahayu60336018 Lewat dikit";0;0;0;0;in;1435248224634241030;1764826588359610749;capres_2024;https://twitter.com/capres_2024/status/1764897900210089991
Tue Mar 05 06:15:42 +0000 2024;1764897556314959920;"Yuk kesini kaka😍";0;0;0;0;in;1732643978213019648;1764897556314959920;ayamcapresc_ijo;https://twitter.com/ayamcapresc_ijo/status/1764897556314959920
Tue Mar 05 06:15:14 +0000 2024;1764897439461605856;"@tanyakanrl empathynya lsg ilang cm grgr capres? GWS.";0;0;0;0;in;1447408073866317828;1764887952197582903;luvkrive;https://twitter.com/luvkrive/status/1764897439461605856
Tue Mar 05 06:14:57 +0000 2024;1764897367567069384;"Pagi tadi temen² kantor gue yang milih dua pada ribut siapa aja yang bakal kebagian jatah menteri.   Gue dalam hati, "CAPRES LU NOH BINGUNG SAMA PROGRAM MAKAN SIANGNYA SENDIRI". Kesel banget gue anjir 😭😭😭";0;0;0;0;in;1263945143884775424;1764897367567069384;mengcaphe;https://twitter.com/mengcaphe/status/1764897367567069384
Tue Mar 05 06:13:58 +0000 2024;1764897120237347159;"HAHAHAHA mood bgt banyak yg salfok kucing parodi debat capres, ayo nder spill";0;0;0;0;in;1335371239108403200;1764897120237347159;oriceeneel;https://twitter.com/oriceeneel/status/1764897120237347159
Tue Mar 05 06:13:50 +0000 2024;1764897085974008250;"@AH_SiregarXIX @anasurbaningrum Gak apa-apa, pokoknya terwakili, soal bagaimana jumlah capres, lalu biaya sumbangan negara ke partai membengkak dan biaya pemilu membengkak gak peduli. Gak mikir pemerataan pembangunan, kesehatan, pendidikan dll yang masih butuh biaya banyak. Garong duit rakyat.";0;0;0;0;in;2228029288;1764846427719815534;putrapetir_007;https://twitter.com/putrapetir_007/status/1764897085974008250
Tue Mar 05 06:13:06 +0000 2024;1764896902959804799;"@The_KingSalaman @268Densur @XIXKunciELXIX @Soraya__X @mamat_oking1 @capres_2024 @RPrima789 @KaredokLeunca__ 🤭🤭";0;1;0;1;qme;611746697;1762504360414847340;Lux_Boy77;https://twitter.com/Lux_Boy77/status/1764896902959804799
Tue Mar 05 06:12:46 +0000 2024;1764896820163944918;"@MamiaDoang @Gi_N0ng @kurawa 😳 ngeri Klee   Apa salah pa jokowi sm dia  ??   Gara2 ga dukung capres nya 🤣🤣";0;0;0;0;in;1604408934525464576;1764892834794979371;xquitavee;https://twitter.com/xquitavee/status/1764896820163944918
Tue Mar 05 06:12:20 +0000 2024;1764896711238127918;"kucing parodi debat capres 😭😭😭 tlong spill";0;0;0;0;in;1646469648;1764896711238127918;hellowmarseu;https://twitter.com/hellowmarseu/status/1764896711238127918
